"","x"
"1","Hey1"
"2","Zbtb10"
"3","Fabp12"
"4","Cyp7b1"
"5","Nceh1"
"6","Ttc14"
"7","1810062G17Rik"
"8","Spry1"
"9","Gm5148"
"10","Pabpc4l"
"11","Foxo1"
"12","Igsf10"
"13","Arhgef26"
"14","Kcnab1"
"15","Tiparp"
"16","Ccnl1"
"17","Golim4"
"18","Pdgfc"
"19","Etv3"
"20","Lrrc71"
"21","Insrr"
"22","Rhbg"
"23","Tsacc"
"24","Rit1"
"25","Syt11"
"26","Rusc1"
"27","Slc50a1"
"28","Efna1"
"29","Rps27"
"30","Creb3l4"
"31","S100a4"
"32","S100a6"
"33","Rorc"
"34","Gm128"
"35","Txnip"
"36","Fmo5"
"37","Pde4dip"
"38","Man1a2"
"39","Gm10355"
"40","Igsf3"
"41","Vangl1"
"42","Rhoc"
"43","Ovgp1"
"44","2010016I18Rik"
"45","Dram2"
"46","Lrif1"
"47","Prok1"
"48","Gstm6"
"49","Gstm1"
"50","Rwdd3"
"51","Arhgap29"
"52","Fnbp1l"
"53","Tram1l1"
"54","Camk2d"
"55","Tifa"
"56","Bdh2"
"57","Ppp3ca"
"58","Gbp5"
"59","Gbp7"
"60","Gbp2"
"61","Sh3glb1"
"62","Syde2"
"63","Ttll7"
"64","Ifi44"
"65","Usp27x"
"66","Chst7"
"67","Rgn"
"68","Xiap"
"69","Dcaf12l1"
"70","Smarca1"
"71","Gm14597"
"72","Mtmr1"
"73","Zfp275"
"74","Pnck"
"75","F8"
"76","Pls3"
"77","Maged1"
"78","Spin4"
"79","Arhgef9"
"80","Eda2r"
"81","Ogt"
"82","Slc16a2"
"83","Magee1"
"84","Lpar4"
"85","Zfp711"
"86","Klhl4"
"87","Nap1l3"
"88","Zmat1"
"89","Armcx5"
"90","Gprasp2"
"91","Arxes1"
"92","Bex2"
"93","Bex4"
"94","Bex1"
"95","Tceal1"
"96","Nrk"
"97","Tsc22d3"
"98","Mid2"
"99","Alas2"
"100","Maged2"
